age,height,weight,point,times,buy
48,144,72,172,16,1
42,180,86,262,19,1
33,166,49,155,19,1
77,170,71,282,14,1
72,169,63,216,19,1
46,183,65,3,12,1
28,170,73,258,15,1
41,146,77,188,14,1
37,159,53,242,18,1
25,141,68,97,9,0
23,157,56,180,6,1
42,167,42,97,9,0
49,185,42,78,6,0
43,180,73,157,12,1
79,157,90,218,9,1
28,158,96,59,16,1
57,173,92,17,15,1
76,158,43,223,6,1
78,177,43,183,8,1
78,182,91,0,8,1
23,181,43,137,20,1
30,172,48,88,13,1
65,163,84,30,18,1
80,156,81,37,12,1
43,154,67,116,11,1
73,157,51,300,16,1
78,176,63,107,16,1
77,170,40,233,0,1
21,177,66,98,11,1
68,173,56,232,13,1
29,184,89,32,0,0
40,163,78,275,1,1
68,175,85,0,6,1
35,175,69,52,0,0
48,169,67,10,0,0
26,156,49,258,6,1
35,153,45,218,13,1
77,160,66,188,19,1
23,151,95,271,12,1
45,143,67,269,14,1
77,154,44,39,16,1
61,157,45,169,3,1
23,174,43,240,6,1
52,183,44,199,8,1
42,157,45,294,0,1
34,153,77,185,18,1
69,167,56,15,8,1
44,176,79,218,20,1
66,179,47,118,1,1
33,163,48,90,20,1
27,182,94,67,6,0
29,166,75,192,6,1
29,156,69,170,11,1
48,161,42,142,9,1
65,161,98,237,2,1
20,176,61,18,3,0
53,171,79,226,18,1
67,182,100,184,9,1
57,151,51,6,0,0
44,143,79,28,2,1
54,172,92,285,6,1
36,156,71,105,9,1
72,144,86,282,20,1
64,176,80,61,1,1
40,184,63,95,4,0
24,162,62,63,19,1
79,152,70,298,6,1
40,155,53,84,18,1
23,141,41,250,19,1
60,171,67,20,20,1
27,155,77,233,18,1
72,142,70,171,16,1
70,144,80,122,10,1
49,147,75,6,13,1
23,141,50,265,3,1
23,184,45,226,11,1
60,185,87,147,8,1
44,168,62,197,12,1
53,158,81,167,2,1
46,182,90,266,17,1
43,164,98,243,8,1
39,149,88,106,16,1
41,156,72,79,13,1
30,181,49,109,2,1
26,182,69,127,6,1
41,163,44,53,18,1
46,144,42,132,15,1
42,161,68,241,18,1
43,154,86,224,17,1
59,158,75,200,19,1
57,149,44,129,4,1
69,148,58,157,9,1
77,174,95,277,17,1
60,168,46,289,6,1
50,180,89,241,20,1
59,147,77,256,17,1
68,140,61,24,10,1
47,167,57,161,11,1
27,157,84,13,4,1
29,160,63,145,17,1
29,179,62,233,4,1
64,175,84,245,12,1
53,154,79,224,15,1
46,151,56,222,9,1
52,177,88,145,20,1
45,185,48,120,9,1
75,147,43,148,3,1
54,166,44,29,10,0
32,156,85,237,7,1
31,172,79,245,9,1
76,142,62,85,8,1
39,161,44,78,15,1
67,151,83,101,12,1
75,177,100,298,6,1
65,156,62,220,16,1
72,159,66,1,4,1
60,146,87,142,0,1
54,182,96,47,5,0
28,143,41,0,5,0
41,180,53,170,19,1
78,145,75,157,9,1
63,181,47,134,3,1
76,184,73,153,0,1
21,148,93,267,18,1
57,180,77,93,5,0
46,160,94,71,7,0
32,147,64,205,19,1
53,164,79,128,1,1
39,160,90,225,20,1
67,182,74,27,11,1
78,157,65,57,20,1
56,164,76,268,17,1
52,169,88,130,20,1
48,167,64,209,9,1
74,160,81,251,17,1
69,168,79,221,15,1
46,165,48,230,10,1
22,140,44,145,16,1
54,155,62,109,7,1
56,179,71,246,20,1
78,177,84,113,0,1
73,170,83,212,11,1
50,153,82,175,13,1
73,167,59,158,5,1
34,154,100,118,3,1
60,160,97,260,15,1
25,145,75,259,19,1
68,173,84,45,10,1
80,165,75,198,9,1
56,162,57,128,8,1
35,140,92,92,9,1
69,164,95,52,1,1
76,172,55,61,17,1
69,154,70,30,16,1
52,150,76,260,6,1
30,160,86,213,13,1
43,140,68,18,16,1
59,163,49,253,2,1
66,160,85,206,8,1
80,183,49,82,11,1
24,167,91,148,14,1
65,177,48,162,12,1
25,147,71,277,19,1
49,179,95,29,6,0
22,177,95,57,19,1
67,169,98,24,20,1
79,184,61,235,14,1
60,156,54,52,13,1
48,158,72,89,6,1
35,145,59,186,4,1
56,144,80,24,16,1
71,153,57,101,2,1
41,171,96,262,1,1
22,144,64,238,10,1
73,152,100,106,13,1
52,158,54,223,13,1
66,155,60,102,15,1
41,174,56,156,1,1
37,169,46,296,5,1
55,176,64,189,5,1
48,148,61,227,4,1
63,166,79,145,15,1
62,167,65,226,20,1
75,184,45,171,10,1
74,165,73,181,1,1
50,182,58,256,13,1
48,174,70,239,6,1
59,171,53,16,3,0
24,179,94,289,17,1
70,179,62,177,15,1
42,140,89,279,15,1
29,168,48,176,3,1
28,144,55,236,18,1
45,173,53,216,19,1
71,146,75,92,19,1
66,147,90,118,12,1
69,155,97,3,15,1
66,176,93,188,13,1
23,160,45,28,1,0
34,155,65,270,7,1
38,142,61,194,8,1
40,150,66,114,5,1
66,156,54,287,4,1
65,161,52,45,3,1
26,153,56,177,10,1
58,157,56,115,9,1
67,176,42,30,10,1
31,145,85,290,10,1
76,152,72,85,18,1
58,142,93,59,10,1
31,174,70,238,14,1
34,181,94,4,7,0
33,182,87,97,16,1
34,158,78,139,18,1
76,168,57,17,11,1
76,159,44,229,12,1
60,168,53,159,19,1
80,173,72,74,1,1
31,163,94,255,9,1
21,181,47,123,6,1
79,166,49,247,10,1
62,176,100,82,19,1
67,141,79,295,0,1
45,171,90,221,19,1
61,165,65,110,10,1
46,172,41,87,19,1
31,179,50,10,11,1
79,156,79,295,7,1
78,172,40,182,17,1
44,174,69,137,17,1
49,164,85,241,18,1
79,152,92,158,17,1
49,145,70,114,18,1
80,153,42,130,14,1
64,162,84,109,18,1
76,143,58,79,9,1
51,162,95,243,9,1
34,144,67,87,5,0
20,167,80,155,12,1
48,159,59,191,12,1
23,152,82,220,2,1
21,181,61,267,6,1
57,180,76,205,18,1
20,150,58,244,14,1
54,154,71,152,2,1
67,166,79,166,7,1
35,167,72,114,13,1
48,177,64,150,6,1
62,161,95,181,4,1
77,157,49,33,6,1
47,174,71,81,19,1
72,150,50,177,9,1
72,182,51,183,5,1
69,141,95,249,2,1
25,147,52,277,8,1
40,177,78,267,18,1
59,165,86,243,13,1
65,162,78,90,16,1
61,154,97,227,8,1
60,174,50,35,18,1
28,145,51,15,17,1
57,152,60,100,3,0
20,156,92,55,1,1
77,156,61,76,12,1
33,151,48,295,15,1
28,159,53,210,20,1
32,144,91,120,9,1
37,175,77,45,12,1
67,146,60,239,3,1
51,164,88,55,5,0
60,159,45,262,2,1
41,140,58,70,14,1
64,170,45,104,15,1
24,157,45,58,18,1
47,175,43,170,19,1
30,149,78,190,16,1
57,184,99,195,10,1
37,155,66,283,17,1
47,151,97,294,11,1
38,170,69,280,2,1
57,163,57,282,2,1
32,153,43,220,4,1
75,174,58,188,7,1
46,184,77,155,12,1
73,147,78,225,8,1
69,145,92,2,19,1
48,145,69,93,11,1
55,154,56,145,5,1
33,142,92,283,9,1
77,152,41,197,14,1
42,142,45,262,9,1
23,183,41,247,15,1
43,142,73,206,15,1
76,185,71,29,17,1
71,168,80,148,8,1
73,163,45,251,7,1
76,145,89,138,20,1
38,144,51,33,19,1
48,184,99,217,7,1
53,185,54,172,8,1
38,141,91,46,5,1
70,150,61,158,14,1
29,184,94,114,17,1
72,143,44,143,13,1
25,160,83,105,18,1
75,177,55,194,5,1
68,156,60,138,16,1
55,172,68,116,10,1
37,140,60,74,4,0
78,155,57,141,17,1
37,170,98,45,16,1
53,153,80,129,16,1
31,181,86,224,8,1
39,178,80,227,9,1
50,169,45,30,14,1
60,164,49,212,9,1
37,160,64,104,0,1
67,152,71,224,17,1
36,160,78,180,14,1
40,145,90,116,18,1
36,181,46,293,9,1
20,173,43,129,10,1
72,174,67,152,9,1
75,181,61,23,19,1
48,141,89,210,17,1
49,169,50,95,6,0
41,169,87,140,13,1
35,179,84,292,4,1
52,151,51,98,6,0
31,149,84,219,19,1
78,184,87,113,1,1
59,174,90,64,1,0
50,148,52,21,12,1
46,141,45,36,9,0
63,148,45,186,13,1
48,178,52,119,11,1
45,183,42,58,19,1
32,160,42,125,3,1
53,157,90,102,6,1
52,179,93,103,13,1
77,140,71,136,16,1
66,153,85,198,19,1
47,182,85,85,13,1
55,176,96,278,9,1
78,182,99,168,7,1
77,150,54,51,19,1
31,184,76,18,15,1
74,172,52,34,4,1
79,163,84,42,20,1
54,154,56,15,16,1
72,159,86,113,7,1
32,150,47,145,2,1
61,147,63,186,14,1
80,159,78,99,10,1
35,177,68,9,7,0
53,172,60,153,16,1
42,175,82,264,15,1
80,154,60,81,4,1
80,180,47,285,20,1
53,162,91,276,15,1
47,178,52,199,19,1
40,169,71,242,3,1
67,145,100,291,6,1
28,145,51,45,0,0
52,178,99,97,7,0
68,172,91,194,4,1
41,181,56,41,13,1
23,163,99,130,1,1
46,145,92,148,16,1
52,141,75,267,17,1
46,140,40,30,18,1
45,166,54,126,1,1
21,181,63,213,2,1
26,175,98,95,13,1
39,176,94,72,20,1
37,179,67,225,20,1
52,152,69,63,19,1
74,184,97,249,2,1
36,174,92,112,11,1
69,163,58,33,5,1
49,165,97,248,20,1
80,180,88,172,19,1
68,142,67,213,4,1
29,162,88,53,16,1
22,181,63,208,11,1
61,151,97,67,16,1
25,147,58,262,16,1
58,161,63,291,9,1
28,184,68,186,5,1
69,166,46,214,6,1
60,177,68,159,16,1
59,183,55,97,3,0
21,154,41,79,5,0
29,153,64,15,6,0
61,170,100,73,18,1
79,158,64,116,4,1
24,183,91,98,6,0
22,156,56,115,8,1
32,166,41,269,18,1
55,165,79,208,7,1
20,156,78,103,8,1
39,151,65,218,10,1
38,154,60,291,2,1
60,155,73,288,16,1
57,146,55,81,2,0
24,167,91,212,15,1
39,177,40,300,7,1
34,172,86,231,0,1
49,140,65,2,2,0
52,168,45,259,0,1
78,175,79,52,5,1
35,181,94,24,14,1
53,180,44,148,19,1
79,183,94,107,7,1
35,170,66,192,7,1
36,178,93,87,12,1
58,182,61,109,4,1
28,183,99,47,9,0
78,150,62,80,8,1
54,166,47,257,13,1
25,182,97,177,7,1
41,179,54,0,6,0
68,144,49,134,13,1
33,141,50,26,4,0
71,157,49,266,18,1
33,157,71,221,17,1
36,142,51,119,8,1
62,161,56,113,19,1
74,147,95,169,12,1
76,145,92,184,0,1
41,148,63,282,14,1
56,152,56,153,1,1
68,172,81,162,13,1
34,177,93,48,8,0
23,140,64,94,13,1
28,146,100,144,1,1
71,170,51,250,19,1
74,164,61,169,18,1
35,168,100,24,10,0
61,168,62,36,19,1
23,172,94,43,4,0
52,152,56,55,16,1
39,152,77,183,3,1
65,151,52,296,20,1
69,143,84,67,5,1
71,178,61,61,12,1
36,174,52,249,17,1
74,171,62,111,19,1
78,172,85,293,4,1
27,179,96,257,8,1
80,176,53,245,18,1
57,182,92,135,7,1
23,177,51,151,0,1
73,150,61,77,19,1
57,164,41,178,0,1
61,144,86,44,7,1
39,169,54,225,7,1
26,141,62,242,3,1
33,145,91,161,16,1
69,182,56,262,16,1
34,159,58,153,4,1
51,173,69,151,13,1
53,156,73,219,11,1
76,169,41,248,2,1
44,182,74,7,18,1
58,165,83,259,19,1
37,142,88,73,12,1
50,156,81,68,16,1
64,177,66,3,2,1
66,182,54,159,14,1
41,183,69,160,2,1
43,179,72,61,18,1
74,143,45,169,10,1
80,179,100,214,17,1
44,144,53,232,1,1
37,185,53,32,4,0
59,169,48,97,19,1
23,162,51,89,7,0
72,185,59,129,1,1
55,168,45,189,3,1
53,181,60,250,16,1
37,157,71,180,10,1
60,168,73,139,8,1
20,141,75,30,13,1
24,150,43,290,6,1
36,144,80,246,18,1
63,180,71,246,19,1
20,145,40,38,9,0
71,179,98,237,3,1
67,163,62,39,12,1
66,177,88,216,8,1
67,156,84,102,2,1
72,172,75,204,15,1
67,144,99,72,20,1
68,155,97,166,6,1
22,173,85,236,13,1
33,148,63,148,8,1
31,148,79,96,6,1
41,147,50,216,7,1
53,161,65,107,7,1
80,164,40,144,7,1
30,170,53,157,8,1
61,155,67,77,0,1
75,168,50,285,3,1
24,144,83,2,7,1
45,154,75,93,15,1
66,177,77,209,11,1
61,144,49,203,20,1
34,172,91,242,12,1
46,159,73,122,4,1
53,153,70,158,13,1
59,178,64,40,19,1
20,172,95,94,15,1
59,174,49,236,6,1
51,172,74,92,6,0
50,141,67,64,6,0
35,170,48,149,9,1
40,155,82,31,12,1
29,167,98,292,13,1
36,184,62,261,0,1
47,152,66,282,0,1
45,184,42,160,9,1
76,161,99,37,13,1
57,176,85,87,8,0
39,174,79,184,12,1
70,152,85,13,6,1
44,149,90,99,10,1
47,145,57,266,12,1
39,173,77,8,8,0
31,157,95,286,9,1
32,148,66,24,8,0
61,148,80,190,2,1
80,168,40,114,13,1
51,179,57,143,2,1
21,164,80,91,14,1
27,158,46,176,6,1
24,151,81,157,11,1
58,147,79,118,7,1
66,144,92,279,1,1
33,168,89,165,11,1
70,151,45,86,7,1
58,148,97,279,15,1
28,180,91,242,6,1
64,161,58,286,4,1
26,141,51,44,1,0
62,172,81,14,6,1
50,145,58,38,12,1
32,162,95,161,10,1
57,170,86,73,4,0
41,166,76,173,3,1
68,153,67,100,0,1
25,148,62,127,13,1
21,177,55,255,7,1
55,160,77,101,14,1
41,171,52,11,19,1
68,161,61,179,11,1
65,140,46,135,14,1
53,147,74,254,10,1
64,156,71,219,2,1
20,143,72,207,18,1
50,185,59,223,17,1
29,157,77,58,3,1
69,147,83,180,1,1
32,161,98,92,5,0
68,151,57,272,12,1
63,182,50,165,20,1
46,163,74,117,15,1
22,174,40,204,8,1
71,153,59,298,12,1
47,143,91,143,19,1
33,144,52,64,4,0
72,175,61,242,3,1
75,154,67,164,2,1
72,172,74,149,12,1
74,167,60,148,13,1
60,144,82,270,6,1
29,177,52,244,8,1
40,176,96,296,19,1
53,164,57,105,5,1
67,153,43,180,8,1
60,141,56,81,9,0
69,175,74,119,1,1
73,184,99,163,13,1
57,182,95,4,18,1
24,158,41,128,20,1
55,146,60,261,17,1
55,185,80,260,20,1
62,168,61,1,0,1
31,146,87,140,7,1
61,159,68,267,13,1
45,161,65,234,8,1
33,155,84,72,1,1
32,149,58,114,9,1
45,149,64,239,18,1
66,182,43,293,13,1
65,141,71,188,1,1
54,172,82,38,3,0
39,182,61,198,5,1
78,151,51,280,9,1
44,170,93,259,19,1
53,159,48,223,18,1
60,177,93,47,2,0
27,149,90,94,13,1
70,175,64,253,6,1
22,156,65,273,6,1
36,156,50,101,1,1
21,158,69,61,15,1
70,165,85,17,6,1
35,154,62,155,14,1
50,147,99,57,2,1
64,175,87,234,12,1
48,148,52,35,14,1
54,161,71,198,10,1
55,140,40,233,17,1
63,179,96,51,1,1
48,149,62,103,13,1
42,166,52,42,4,0
77,152,90,179,19,1
44,184,64,212,13,1
55,160,95,287,1,1
26,180,59,297,17,1
45,163,72,76,13,1
59,182,93,140,19,1
78,153,81,189,11,1
76,168,63,48,1,1
73,159,50,184,20,1
74,172,54,164,5,1
20,164,71,218,19,1
46,152,83,186,13,1
43,147,68,118,8,1
33,159,78,263,6,1
39,172,43,103,2,1
62,181,99,25,18,1
42,151,71,180,19,1
20,147,60,164,4,1
45,178,43,86,4,0
33,164,84,52,13,1
24,178,78,118,6,1
76,162,81,70,11,1
32,151,69,164,19,1
62,177,71,11,0,1
51,152,42,182,11,1
34,153,40,206,16,1
65,181,62,257,1,1
80,158,62,68,5,1
49,184,92,152,4,1
58,144,79,22,11,1
63,147,62,188,20,1
23,182,67,282,7,1
79,180,84,187,4,1
74,155,76,44,19,1
32,140,88,107,7,1
31,168,78,139,3,1
62,176,94,117,15,1
25,185,77,171,3,1
21,143,51,26,2,0
25,146,44,206,5,1
79,158,84,253,20,1
69,172,85,291,18,1
48,181,52,283,10,1
33,167,86,231,7,1
48,145,48,258,5,1
59,151,49,296,16,1
68,151,65,8,4,1
46,180,41,115,18,1
31,173,92,17,8,0
51,185,99,281,3,1
52,140,80,231,9,1
80,175,48,220,14,1
35,170,98,12,15,1
42,170,52,59,12,1
47,140,72,72,17,1
24,174,61,295,11,1
25,179,56,13,1,0
60,145,65,163,7,1
42,171,49,299,2,1
26,152,62,203,5,1
49,160,69,185,13,1
61,152,50,188,19,1
30,154,48,173,4,1
53,167,52,63,16,1
68,158,52,14,16,1
54,160,88,223,0,1
25,160,51,240,8,1
79,152,97,74,20,1
23,162,87,83,6,0
80,153,96,32,17,1
62,155,44,16,9,1
74,179,99,163,15,1
62,152,61,300,16,1
74,172,46,274,16,1
76,184,72,110,20,1
45,168,99,243,9,1
47,184,45,132,7,1
77,175,98,243,18,1
45,167,58,170,19,1
31,140,63,139,7,1
35,149,89,32,7,1
60,145,77,54,19,1
37,170,69,71,11,1
39,157,75,198,18,1
76,170,64,91,8,1
68,142,57,170,19,1
57,156,55,134,15,1
67,143,48,162,11,1
74,173,100,126,6,1
67,163,63,3,4,1
57,180,95,103,4,1
54,159,96,52,11,1
25,161,55,205,15,1
74,141,42,284,8,1
28,169,88,17,15,1
76,151,53,8,10,1
39,164,73,238,18,1
68,148,72,18,18,1
49,140,66,127,16,1
55,178,67,229,16,1
77,179,82,291,5,1
76,159,49,113,20,1
78,160,73,214,1,1
29,184,61,38,13,1
45,169,56,179,9,1
22,166,61,277,12,1
25,182,80,36,10,0
38,172,91,257,19,1
38,140,50,254,17,1
24,154,56,230,0,1
40,148,86,186,6,1
65,140,44,48,12,1
23,148,88,175,13,1
48,169,96,100,15,1
43,175,59,281,10,1
54,141,76,134,17,1
49,160,77,222,4,1
54,149,74,167,10,1
48,159,70,261,12,1
71,150,83,118,10,1
29,158,93,291,2,1
51,185,72,30,0,0
55,147,71,276,12,1
49,163,59,75,10,0
34,169,66,108,17,1
49,160,72,135,14,1
61,176,82,206,14,1
27,164,78,192,14,1
66,163,70,257,17,1
76,145,54,292,9,1
32,149,74,93,1,1
68,160,97,223,9,1
36,149,48,108,7,1
32,169,100,232,14,1
58,183,70,81,5,0
59,150,47,234,5,1
35,157,68,255,16,1
76,155,99,154,18,1
76,144,45,17,2,1
31,168,74,162,20,1
46,150,45,256,10,1
44,147,61,240,10,1
58,144,86,90,0,1
32,171,81,255,6,1
36,176,100,287,17,1
34,145,49,203,12,1
32,152,59,100,10,0
57,159,50,128,19,1
35,181,61,296,1,1
75,160,64,201,18,1
47,170,96,141,2,1
66,185,49,18,17,1
77,162,99,298,17,1
52,183,67,92,17,1
26,149,97,188,7,1
79,177,48,159,4,1
80,171,84,107,6,1
75,181,68,266,19,1
26,144,45,292,18,1
23,164,85,87,16,1
70,174,90,270,15,1
54,170,76,138,3,1
23,180,57,163,3,1
59,174,48,42,6,0
70,167,83,112,18,1
20,167,61,29,10,0
37,164,82,248,16,1
45,173,92,243,3,1
70,180,65,143,2,1
66,171,98,203,8,1
78,173,96,3,16,1
72,172,58,131,2,1
34,154,56,85,18,1
22,160,63,127,17,1
44,151,87,212,10,1
65,179,53,240,4,1
24,169,91,134,1,1
24,146,46,240,5,1
61,147,72,94,4,1
54,148,46,95,6,0
55,172,86,174,19,1
68,161,84,81,3,1
70,160,100,206,12,1
76,177,73,135,13,1
49,169,77,295,19,1
75,179,82,130,16,1
75,149,78,212,17,1
23,159,70,57,5,0
43,148,73,68,2,1
70,183,65,3,12,1
39,143,65,131,15,1
37,148,97,69,4,1
48,164,91,235,3,1
31,169,91,97,7,0
45,141,87,213,5,1
34,170,40,11,10,0
40,177,69,152,1,1
